tile;class;ref_pixel_count;intersection;union
tile_splitted_2818_32247;1;225;225;225
tile_splitted_2818_32247;2;36173;36173;36173
tile_splitted_2818_32247;5;8339;8339;8339
tile_splitted_2818_32247;9;0;0;0
tile_splitted_2819_32247;1;491;491;491
tile_splitted_2819_32247;2;21780;21780;21780
tile_splitted_2819_32247;5;6075;6075;6075
tile_splitted_2819_32247;9;0;0;0
tile_splitted_2819_32248;1;275;275;423
tile_splitted_2819_32248;2;27093;27093;27093
tile_splitted_2819_32248;5;7648;7648;7648
tile_splitted_2819_32248;9;0;0;0
tile_splitted_2818_32248;1;623;623;746
tile_splitted_2818_32248;2;42963;42963;42963
tile_splitted_2818_32248;5;9876;9876;9876
tile_splitted_2818_32248;9;0;0;0
